key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
1823,SavileRow (BDD),./experiments/mbkp-control/lps/2/3_20.lp,Sat,23.026628,0.8143239,1996799,18732512,52329151
1824,SavileRow (GPW),./experiments/mbssp-control/lps/2/083.lp,Unknown,1.0107726,,8632,31705,81057
1824,SavileRow (GPW),./experiments/mbkp-control/lps/2/3_20.lp,Sat,3.4453835,0.6943049,111525,395480,1001110
1826,SavileRow (GMTO),./experiments/mbssp-control/lps/2/083.lp,Unknown,1.2575359,,5164,18059,48891
1826,SavileRow (GMTO),./experiments/mbkp-control/lps/2/3_20.lp,Sat,5.643359,5.5975323,63007,234471,637867
1827,Fun-sCOP (),./experiments/mbkp-control/lps/2/3_20.lp,Sat,62.881668,10.49908,5648868,15746515,45805675
1827,Fun-sCOP (),./experiments/mbssp-control/lps/2/083.lp,Unknown,3.7307253,,158936,447118,1311878
1830,Picat-SAT,./experiments/mbkp-control/lps/2/3_20.lp,Sat,1.6130624,19.278282,41655,359500,1658692
1830,Picat-SAT,./experiments/mbssp-control/lps/2/083.lp,Sat,0.5681232,0.8020799,1527,12943,59210
1831,SavileRow (GT),./experiments/mbkp-control/lps/2/4_20.lp,Timeout,,,,,
1831,SavileRow (GT),./experiments/mbssp-control/lps/2/084.lp,Unknown,18.828022,,63914,13709928,41099812
1832,SavileRow (SWC),./experiments/mbssp-control/lps/2/084.lp,Unknown,2.6515918,,254756,2587914,7279176
1832,SavileRow (SWC),./experiments/mbkp-control/lps/2/4_20.lp,Memory,,,,,
1833,SavileRow (BDD),./experiments/mbkp-control/lps/2/4_20.lp,Sat,24.25587,3.2669835,2068374,19551684,54751591
1833,SavileRow (BDD),./experiments/mbssp-control/lps/2/084.lp,Unknown,2.497784,,69355,670008,1867227
1834,SavileRow (GPW),./experiments/mbkp-control/lps/2/4_20.lp,Sat,3.808498,1.3416289,111066,393380,995792
1834,SavileRow (GPW),./experiments/mbssp-control/lps/2/084.lp,Unknown,1.0039052,,8368,30402,77668
1836,SavileRow (GMTO),./experiments/mbssp-control/lps/2/084.lp,Unknown,1.2655383,,5092,17626,47760
1836,SavileRow (GMTO),./experiments/mbkp-control/lps/2/4_20.lp,Sat,5.217602,7.0512033,63061,233963,635388
1837,Fun-sCOP (),./experiments/mbssp-control/lps/2/084.lp,Unknown,4.2650056,,146060,410202,1202818
1837,Fun-sCOP (),./experiments/mbkp-control/lps/2/4_20.lp,Sat,59.87118,8.057444,5661088,15790969,45941977
1840,Picat-SAT,./experiments/mbkp-control/lps/2/4_20.lp,Sat,1.6623108,21.268587,41841,359825,1658756
1840,Picat-SAT,./experiments/mbssp-control/lps/2/084.lp,Sat,0.60115725,0.8242816,1542,12315,55194
1841,SavileRow (GT),./experiments/mbssp-control/lps/2/085.lp,Unknown,18.099928,,55769,8639764,25892445
1841,SavileRow (GT),./experiments/mbkp-control/lps/2/1_21.lp,Timeout,,,,,
1842,SavileRow (SWC),./experiments/mbkp-control/lps/2/1_21.lp,Memory,,,,,
1842,SavileRow (SWC),./experiments/mbssp-control/lps/2/085.lp,Sat,2.499991,24.732744,237407,2368752,6658164
1843,SavileRow (BDD),./experiments/mbssp-control/lps/2/085.lp,Unknown,2.3792655,,58340,545892,1509458
1843,SavileRow (BDD),./experiments/mbkp-control/lps/2/1_21.lp,Sat,22.375248,2.8591156,2008927,18952223,53133145
